2019-01-18 06:13:49.8399||DEBUG|TrelloClone.Program|init main |url: |action: 
2019-01-18 06:14:04.1558|11|WARN|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported. |url: https://localhost/api/auth/duplication|action: 
2019-01-18 06:14:10.0374|11|WARN|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported. |url: https://localhost/api/auth/duplication|action: 
2019-01-18 06:14:15.3953|11|WARN|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported. |url: https://localhost/api/auth/duplication|action: 
2019-01-18 06:14:16.4755|11|WARN|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported. |url: https://localhost/api/auth/duplication|action: 
2019-01-18 06:14:16.8778|11|WARN|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported. |url: https://localhost/api/auth/duplication|action: 
2019-01-18 06:14:23.3440|11|WARN|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported. |url: https://localhost/api/auth/duplication|action: 
2019-01-18 06:18:26.0937|11|WARN|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported. |url: https://localhost/api/auth/duplication|action: 
2019-01-18 06:18:27.3336|11|WARN|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported. |url: https://localhost/api/auth/duplication|action: 
2019-01-18 06:18:36.3770|11|WARN|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported. |url: https://localhost/api/auth/register|action: 
2019-01-18 06:18:47.8020|11|WARN|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported. |url: https://localhost/api/auth/duplication|action: 
2019-01-18 06:18:48.8993|11|WARN|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported. |url: https://localhost/api/auth/duplication|action: 
2019-01-18 06:44:41.8932|11|WARN|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported. |url: https://localhost/api/auth/login|action: 
2019-01-18 06:58:30.5402|11|WARN|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported. |url: https://localhost/api/auth/login|action: 
2019-01-18 07:04:52.9714|11|WARN|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported. |url: https://localhost/api/auth/login|action: 
2019-01-18 07:05:32.0345|11|WARN|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported. |url: https://localhost/api/auth/login|action: 
2019-01-18 07:38:08.9607||DEBUG|TrelloClone.Program|init main |url: |action: 
2019-01-18 07:43:19.0004|11|WARN|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported. |url: https://localhost/api/auth/login|action: 
2019-01-18 07:57:35.3164|11|WARN|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported. |url: https://localhost/api/auth/login|action: 
2019-01-18 12:26:36.4738||DEBUG|TrelloClone.Program|init main |url: |action: 
2019-01-18 12:30:16.6666||DEBUG|TrelloClone.Program|init main |url: |action: 
